English,Slovak
scientific,vedecký
lovers,milenci
chaos,chaos
l.a.,L.A.
rocket,raketa
math,matematika
stubborn,tvrdohlavý
august,august
oi,oi
chips,lupienky
intense,intenzívny
grey,šedý
talkin,rozprávať
terrorist,terorista
angle,uhol
invitation,pozvánka
gus,gus
gambling,hazard
respond,reagovať
thirty,tridsať
procedure,postup
absolute,absolútny
investigate,vyšetriť
tragedy,tragédia
stable,stajňa
session,zasadnutie
capture,zachytiť
marrying,sobáš
ripped,roztrhol
attacks,útoky
stretch,natiahnutie
bush,krík
dates,termíny
unable,neschopný
gates,brána
mars,Mars
artists,umelci
increase,zvýšiť
tastes,ochutnať
cared,starostlivý
bottles,fľaše
highest,najvyšší
whirring,pokrivovanie
meanwhile,medzitým
nate,Nate
grabbed,chytený
pigs,ošípané
chop,nasekať
olivia,olivia
wheels,kolesá
shocked,šokovaný
reverend,úcta
commercial,obchodný
escort,sprevádzať
engagement,angažovanosť
corpse,mŕtvola
louise,louise
worthy,hodný
scale,mierka
beats,biť
williams,Williams
threatening,ohrozujúci
exists,existuje
academy,akadémia
acts,konanie
hop,skočiť
judges,sudcovia
furniture,nábytok
shared,zdieľaný
ralph,ralf
consequences,dôsledky
engineer,inžinier
schools,školy
softly,jemne
bombs,bomba
caroline,karolína
shark,žralok
transport,preprava
population,populácia
succeed,ustupovať
creepy,strašidelné
sneak,vraziť
studies,štúdium
destruction,zničenie
keith,keith
protected,chránený
monsters,príšery
joining,príbuzný
punished,potrestaný
lightning,blesk
malcolm,malákna
shell,škrupina
fascinating,fascinujúci
chamber,komora
ethan,Ethan
romance,romantička
instance,inštancia
jumping,skákací
groups,zoskupovať
exhausted,vyčerpaný
testify,vypovedať
studied,študovaný
walker,chodec
pin,pin
imagined,predstavený
drill,vŕtanie
investigating,vyšetrovanie
ye,ty
experienced,skúsený
elena,Elena
necklace,náhrdelník
loyalty,lojalita
junk,haraburdie
cole,cole
cries,výkrik
stanley,stanley
rita,rita
southern,južný
blocks,bloky
emotions,emócie
begun,začínajúci
maya,maya
liver,pečeň
serving,podávanie
matches,zápasy
surgeon,chirurg
granted,udelený
jazz,džez
july,júl
supplies,zásoby
deeper,hlbšie
typical,typický
kicking,kopanie
obey,poslúchať
dancer,tanečník
remote,vzdialený
daughters,dcéry
moron,kretén
latin,latinský
teachers,učitelia
toby,tobý
sandy,piesočnatý
dragged,pretiahnutý
strategy,stratégia
parent,rodič
jin,jin
album,album
compared,porovnaný
rubbish,odpadky
helpful,užitočný
powder,prášok
sync,synchronizovať
bum,zadok
passes,priechody
joan,joan
fort,pevnosť
choices,rozhodnutia
alley,uličky
supper,večera
penis,penis
alibi,alibi
sammy,sammy
pole,pól
coke,koks
scientist,vedec
fighter,bojovník
highway,diaľnica
blade,čepeľ
alpha,alfa
diet,diéta
liquor,likvidátor
jet,trysk
widow,vdova
liberty,sloboda
philip,philip
moral,morálka
carrie,carrie
award,cena
grief,smútok
thirsty,smädný
ashley,Ashley
random,náhodný
suspects,podozrenie
intention,úmysel
julian,Julian
active,aktívny
tools,náradie
driven,poháňaný
trauma,trauma
headache,bolesť hlavy
safely,bezpečne
alexander,Alexander
knee,koleno
lads,chlapci
novel,nový
conversations,rozhovory
waters,voda
lookin,pozrieť sa do
invisible,neviditeľný
internal,vnútorný
peaceful,pokojný
humming,hučanie
washed,umytý
drives,pohyby
talented,talentovaný
li,Li
aid,pomoc
elephant,slon
troubles,problémy
core,jadro
serial,sériový
s-,s-
painted,maľovaný
the,ten
divine,božstvo
jam,zaseknúť
goat,koza
opera,opera
thieves,zlodej
guessing,hádanie
objection,námietka
whiskey,whisky
florida,florida
resistance,odpor
dressing,Obliekanie
attached,pripevnený
aaron,Aaron
brief,stručný
punish,trestať
eternal,večný
lois,lois
and,a
required,požadovaný
victoria,Victoria
fabulous,rozprávkový
twins,dvojčatá
characters,znaky
cooked,varený
ln,ln
ruth,ruka
dreamed,snívaný
arts,umenie
naughty,nezbedný
stabbed,bodnutý
tend,tendencia
diane,rozruch
tap,klepnutie
soap,mydlo
locker,skrinka
development,rozvoj
images,snímky
prick,pichnutie
global,globálny
string,struna
bitter,horký
sharing,zdieľanie
corn,kukurica
craig,craig
fits,pasuje
tent,stan
forms,formuláre
votes,hlasovanie
harold,Harold
propose,navrhovať
monica,monika
constantly,neustále
granny,babička
nicely,pekne
nerves,nervy
arguing,argumentačný
abuse,zneužitie
relatives,príbuzný
survival,prežitie
gloves,rukavice
tracking,sledovanie
zoe,zoe
u,u
bend,ohýbať sa
review,preskúmanie
connect,pripojiť
separated,oddelený
elder,starší
beard,brada
admiral,admirál
diana,Diana
salary,mzda
areas,oblasti
disturb,narušiť
pro,protest
maintain,udržiavať
solved,vyriešený
wealth,bohatstvo
bitches,mrchy
possession,vlastníctvo
sang,spievali
gimme,gimme
plates,taniere
shoulders,ramená
burnt,spálený
recorded,zaznamenaný
upper,horný
counts,počítanie
tale,príbeh
profit,zisk
colleague,kolega
warehouse,sklad
hostage,rukojemník
shore,breh
porn,porno
miami,Miami
fifteen,pätnásť
visitors,návštevník
bo,bož
net,slepo
insult,uraziť
owen,vidlica
cities,Mestá
causing,spôsobujúci
lemon,citrón
heal,uzdravenie
banging,búchanie
honeymoon,svadobná cesta
appeal,príťažlivosť
marshall,maršalský
critical,kritický
creating,tvorba
scotland,Škótsko
crane,žeriav
enormous,obrovský
testimony,svedectvo
praise,chváliť
fights,boj
indians,Indiáni
commission,provízia
growls,zavrčať
nicole,nicole
sins,hriechy
fraud,podvod
branch,pobočka
happily,šťastne
bout,záchvat
covering,krytina
occurred,došlo
beans,fazuľa
raw,surový
muscle,svaly
pages,stránky
tense,napätý
relationships,vzťahy
management,zvládanie
assignment,pridelenie
blonde,blondínka
catching,zachytávanie
exposed,vystavený
canada,Kanada
dont,nekričať
han,Han
von,von
comedy,komédia
marco,mravca
stroke,mŕtvica
whistling,pískanie
buildings,budovy
shaking,trasenie
p.m.,popoludnie.
facility,zariadenie
appropriate,vhodný
remarkable,pozoruhodný
transferred,prevedený
drawn,nakreslený
tits,kozy
clicking,kliknutie
symbol,symbol
motor,motor
employees,zamestnanci
ambassador,veľvyslanec
mothers,matky
pile,hromada
feeding,kŕmenie
soda,sóda
checks,kontrola
bears,medvede
cookies,cookies
slut,búda
awfully,strašne
stepped,šliapaný
toys,hračky
levels,úroveň
differently,inak
magnificent,veľkolepý
steak,steak
tube,trubica
leaders,vedúci predstavitelia
superior,nadradený
herr,herr
pan,panvica
expression,prejav
currently,momentálne
throne,trón
deadly,smrteľný
bee,včela
tooth,zub
depressed,depresívny
potatoes,zemiaky
wicked,bezbožný
resources,zdroje
native,domorodý
centuries,storočia
karl,karl
poetry,poézia
multiple,viacnásobný
cable,kábel
shortly,krátko
buzz,bzučanie
socks,ponožky
fingerprints,odtlačky prstov
goddess,bohyňa
chin,Brada
anxious,úzkostlivý
01/09/9351,01/09/9351
colors,farby
basketball,basketbal
promises,sľuby
explained,vysvetlený
appearance,vzhľad
musical,muzikálny
sends,odosielanie
slide,šmykľavka
aii,aii
shawn,shawn
ultimate,konečný
pork,bravčové mäso
communication,komunikácia
payment,platba
structure,štruktúra
paperwork,papierovanie
obsessed,posadnutý
lazy,lenivý
russians,Rusi
actors,herci
squeeze,stlačenie
magical,kúzelný
colleagues,kolegovia
admire,obdivovať
madness,šialenstvo
roads,cestovanie
entry,vstup
injury,zranenie
burden,zaťažiť
racing,pretekanie
manner,spôsob
freezing,zamrznutie
bits,kúsky
norman,Norman
mount,pripevniť
battery,batéria
dessert,dezert
pound,biť
visited,navštívený
motel,motel
rumbling,rozčúľanie sa
cinema,kino
fond,milý
halfway,na polceste
rifle,puška
reception,recepcia
statue,socha
fridge,chladnička
brick,tehla
abandon,opustiť
lap,vyraziť
natalie,natalie
wars,vojny
recommend,odporučiť
brush,kefa
nelson,Nelson
pill,tabletka
concept,koncepcia
w,W
delay,oneskorenie
quarters,štvrťroky
korea,Kórea
janet,janet
rub,trieť
mall,nákupné centrum
soil,pôda
complaint,sťažnosť
sail,plachtiť
baker,Pekár
coughs,kašeľ
bucket,vedierka
description,opis
badge,odznak
measure,meranie
hip,bedro
function,funkcia
indistinctly,neurčito
harris,Harris
foundation,základ
labor,pôrod
willie,vôľa
waiter,čašník
homeless,bezdomovec
proved,preukázaný
unfortunate,nešťastný
log,protokol
meetings,stretnutia
giggles,chichotanie
combat,boj
poem,báseň
polish,leštiť
handed,podaný
mia,mia
weed,burina
raymond,raymond
tons,ton
satellite,satelit
jersey,dres
eagle,orol
privacy,súkromie
chapter,kapitola
treating,zaobchádzanie
wisdom,múdrosť
flip,pliesť
entering,vstup
barn,stodola
farmer,farmár
clan,klan
budget,rozpočet
pub,krčma
temporary,dočasný
effective,účinný
sonny,sonny
wendy,mravný
juan,juan
lamb,jahňacie mäso
plot,graf
riley,Riley
proposal,návrh
sticks,tyčinky
searched,prehľadaný
blessing,požehnanie
rage,zúrivosť
bothered,obťažovaný
sydney,Sydney
basis,základ
manners,správanie
recover,zotaviť sa
twist,skrútenie
neil,neil
leak,únik
item,položka
catholic,katolík
sighing,vzdychnutie
retired,na dôchodku
kings,kráľ
inner,vnútorný
cents,centy
affect,ovplyvniť
forbidden,zakázaný
patch,záplata
drops,kvapky
necessarily,nevyhnutne
provided,založený
meters,meracie výrobky
booked,rezervovaný
returns,návrat
gloria,Gloria
fires,oheň
humor,humor
torn,roztrhaný
e-mail,e-mail
rocky,skalnatý
introduced,zavedený
creative,kreatívny
betray,zradiť
soviet,Soviet
various,rôzny
added,pridaný
discovery,objavenie
cowboy,kovboj
suspected,podozrivý
suggested,navrhovaný
delighted,potešený
sticking,priľnavý
dive,ponoriť sa
shane,hanba
radar,radar
prosecutor,prokurátor
amber,jantár
vast,obrovský
quinn,quinn
owned,vlastný
cookie,cookie
finest,najlepší
felix,felix
pump,pumpovať
valentine,valentínsky
counter,protiklad
sorts,druh
coin,minca
warren,bojovník
slaves,otrok
marine,morský
illness,choroba
sack,vrece
bid,ponuka
require,vyžadovať
moscow,Moskva
largest,najväčší
washing,umývanie
achieve,dosahovať
causes,príčiny
k,klimatizovať
mo,mí
dope,droga
nest,hniezdo
palm,dlaň
logan,logan
constant,konštantný
b.,b.
boo,vyraziť
medication,liek
gravity,gravitácia
booze,chlastovať
noah,Noe
evan,evan
abroad,v zahraničí
christine,christ
rising,vzostupný
analysis,analýza
cuts,výrezy
eats,zjesť
employee,zamestnanec
vodka,vodka
damaged,poškodený
solar,solárny
height,výška
pops,šupka
yards,lodenice
terrified,vystrašený
suitcase,kufor
chemical,chemický
preparing,príprava
advanced,pokročilé
fund,fond
wears,opotrebenie
chirping,cvrlikanie
web,sieť
phase,fáza
prom,stužková
suggesting,navrhovanie
fleet,flotila
lame,Chromý
irish,írsky
editor,editor
01/10/8672,01/10/8672
assumed,predpokladaný
whip,bič
mel,mel
region,región
amongst,medzi
temper,miernosť
discussion,diskusia
engines,motory
operate,prevádzkovať
sunshine,slnečné svetlo
acted,konaný
undercover,v tajnosti
horror,horor
tested,testovaný
smash,rozbiť
contrary,naopak
roses,ruže
poker,poker
wrapped,zabalený
korean,kórejský
graham,graham
mi,mikrofón
fu,fu
ivan,ivan
focused,zameraný
liam,liam
tragic,tragický
carla,karta
demons,démoni
rounds,kola
entertainment,zábava
gathered,zhromaždený
uhh,uhh
yells,výkrik
lincoln,Lincoln
crossing,priechod
blanket,prikrývka
nut,orech
travis,travis
pockets,vrecká
limited,obmedzený
paintings,maľba
sober,triezvy
caesar,cisar
sis,sis
intended,zamýšľaný
niece,neter
computers,počítače
tennis,tenisový
needle,štrbina
chicks,kurčatá
traditional,tradičný
delicate,jemný
independent,nezávislý
leslie,lesk
lauren,Lauren
grandson,vnuk
repair,opraviť
a.,a.
brandon,brandon
executive,výkonný
colin,colin
recognized,uznaný
holmes,holmes
regarding,pokiaľ ide o
weakness,slabosť
aliens,cudzinci
gunshots,výstrely
european,Európsky
method,metóda
tool,náradie
demands,požiadavky
permit,povolenie
towel,uterák
daisy,sedmokráda
nowadays,v dnešnej dobe
spider,pavúk
northern,severný
rangers,strážca
zoo,zoologická záhrada
praying,modlitba
antonio,Antonio
passengers,cestujúci
con,ubytovať
australia,Austrália
technique,technika
cellphone,mobilný telefón
gently,jemne
operations,operácie
planes,lietadlá
bunny,Králiček
gunfire,paľba
shining,žiarivý
backwards,dozadu
skill,zručnosť
uh-,uh-
baron,barón
kidnapping,únos
iike,iike
marshal,maršál
petty,drobný
sealed,zapečatený
massage,masáž
raising,zvyšovanie
menu,Ponuka
diary,denník
fucker,pruh
wagon,vagón
audition,konkurz
mitch,štrbina
mexican,mexický
casino,kasíno
bacon,slanina
diego,diego
dutch,Holanďan
promotion,propagácia
click,kliknutie
forgiveness,odpustenie
burst,výbuch
permanent,trvalý
interfere,zasahovať
chanting,spievanie
dammit,sakra
spencer,spencer
recovered,zotavený
registered,registrovaný
sunny,slnečný
packing,balenie
scenes,scéna
superman,superman
questioning,výsluch
unfair,nespravodlivý
admitted,prijatý
ancestors,predkovia
polite,zdvorilý
completed,dokončený
swallow,prehltnúť
conduct,konanie
prayers,modlitby
sheet,pokrývka
fried,vyprážaný
avenue,trieda
poisoned,otrávený
reverse,obrátiť sa
newspapers,noviny
ford,Ford
complaining,sťažnosť
senses,zmysly
investment,investícia
absurd,absurdný
potato,zemiak
understands,chápať
grows,rastie
inspired,inšpirovaný
ruby,rubínový
celebrating,oslavovací
tag,označenie
ram,búchať
requires,vyžadovať
bonnie,bonnie
bugs,chyby
leonard,leonard
elliot,elliot
hooked,zavesený
jill,jill
ranch,ranč
safer,bezpečnejší
worn,opotrebovaný
crashing,nárazový
lands,pozemky
heather,búrka
ash,popolček
leather,koža
grounds,pozemky
assuming,za predpokladu
nails,klince
dana,dana
conspiracy,sprisahanie
thanksgiving,Deň vďakyvzdania
pierre,pierre
guardian,strážca
rumors,povesti
yen,pohorie
megan,megan
ashes,popol
terror,teror
misunderstanding,nedorozumenie
tire,unaviť sa
boats,člny
parade,prehliadka
halt,zastaviť
immunity,imunita
adults,dospelí
steam,pary
kang,kang
closely,dôkladne
pearl,perla
soccer,futbal
adrian,Adrian
priority,priorita
shouts,výkrik
donald,donald
happier,šťastnejší
khan,khan
struggling,bojujúci
root,zakorenenie
larger,väčší
01/11/8128,01/11/8128
boot,zavedenie
conflict,konflikt
laughed,zasmial sa
debbie,debbie
cherry,čerešňa
honking,trúbenie
concerns,záujmy
celebration,oslava
sore,boľaví
unconscious,v bezvedomí
cattle,dobytok
breasts,prsia
fairly,spravodlivo
fee,poplatok
recognise,uznať
wade,brodenie
radiation,žiarenie
holidays,prázdniny
raining,dažďový
forgetting,zabudnutý
lungs,pľúca
register,Registrovať
shadows,tiene
specifically,konkrétne
sarge,sarge
ideal,ideálny
turtle,korytnačka
spoil,pokaziť
deserved,zaslúžený
ronnie,ronnie
gina,gina
candidate,kandidát
lance,kopija
types,typy
bloke,vyraziť
explode,explodovať
immediate,okamžitá
belonged,patrilo
identified,identifikovaný
di,DI
hunger,hlad
closest,najbližšie
combination,kombinácia
nanny,chvenie
seth,Seth
gabriel,gabriel
develop,rozvíjať sa
detectives,detektívi
severe,tvrdý
en,udeliť
organized,organizovaný
franklin,franklin
gut,črevo
splendid,nádherný
dismissed,prepustený
pm,popoludnie
yang,jang
halloween,Halloween
ellie,ellie
vulnerable,zraniteľný
continued,pokračujúci
vital,vitálny
comrades,kamarát
bureau,úrad
drawer,zásuvka
harper,podriadiť
retreat,ustúpiť
carson,carson
benny,benny
pillow,vankúš
troy,troy
ace,ace
cart,vozík
nap,zdriemnutie
chan,chan
ham,šunka
announce,oznámiť
borrowed,požičaný
parked,zaparkovaný
galaxy,galaxia
voted,hlasovať
muffled,tlmený
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,šperky
kisses,bozky
luggage,batožina
groom,ženích
oops,hanba
lighter,zapaľovač
masters,majstrov
alliance,spojenectvo
buddies,kamaráti
clothing,oblečenie
denied,zameraný
drown,utopiť sa
alike,podobný
excellency,excelencia
relative,príbuzný
photographs,fotografia
burger,hamburger
dough,cesto
alicia,alicia
wreck,troska
approve,schváliť
produced,vyrobený
christina,Christina
physically,fyzicky
stations,stanice
eli,eli
samantha,samantha
spiritual,duchovný
sire,otrav
roaring,hučiaci
stab,bodnutie
inch,palec
servants,zamestnanci
limits,limity
unexpected,neočakávaný
arrival,príchod
whimpering,kňučanie
basket,košík
sheets,listy
scandal,škandál
stink,smútok
homer,harbie
tara,tara
christopher,christofer
toes,prsty na nohách
t-,t-
shield,chrániť
shooter,strelca
instant,moment
objects,predmet
rehearsal,skúška
disturbing,znepokojujúci
directed,pokusný
scan,skenovanie
electronic,elektronický
republic,republika
overnight,prenocovanie
counsel,poradca
sirens,sirény
dorothy,Dorothy
bait,návnada
dignity,dôstojnosť
explains,vysvetľovať
lean,naklonený
heroin,heroín
tracy,tracy
rex,rex
barney,barney
gossip,klebeta
humble,pokorný
economy,hospodárnosť
worlds,svet
impress,dojem
clara,clara
tissue,tkanivo
threaten,ohrozovať
et,et
bump,naraziť
supreme,najvyšší
bingo,bingo
mitchell,mitchell
excitement,vzrušenie
mankind,ľudstvo
document,dokument
broad,široký
vietnam,Vietnam
vessel,plavidlo
lit,osvetlený
dale,dale
killers,vrahovia
connor,Connor
mario,mario
foul,zanedbaný
stare,hľadieť
deaths,úmrtia
hut,chata
elements,prvky
coma,kóma
laying,kladenie
coffin,truhla
paula,paula
cocaine,kokaín
puppy,šteňa
louder,hlasnejší
handled,manipulovaný
announcement,oznámenie
oath,prísaha
mob,dav
cotton,bavlna
deposit,Záloha
taxes,dane
injuries,zranenia
jen,džbán
autopsy,pitva
advise,radiť
gig,koncert
lecture,prednáška
posted,uverejnený
skinny,chudý
lo,ložisko
include,zahrnúť
revealed,odhalený
infected,infikovaný
relieved,uľavilo
assistance,pomoc
solo,samostatne
determine,určiť
terrorists,terorista
elsewhere,inde
lamp,lampa
practical,praktický
marked,zjavný
adorable,rozkošný
rubber,guma
purple,Fialová
operating,prevádzkový
suite,súbor
apologies,ospravedlnenia
personnel,personál
beam,lúč
poet,básnik
samples,vzorky
arrow,šípka
counselor,poradca
carpet,koberec
allen,Allen
audrey,audrey
spotted,bodkovaný
floating,plávajúci
corrected,opravený
located,Nachádza
journalist,novinár
insisted,trval
operator,prevádzkovateľ
rely,spoliehať sa
singh,singh
fooled,oklamaný
arrives,prichádzať
i.d.,I.D.
leon,leon
walt,valca
eastern,Východná
ay,ay
shave,oholiť
remaining,zostávajúci
toss,hodiť
anderson,Anderson
lip,naliehavý
acid,kyselina
nora,nóra
si,SI
01/12/7586,01/12/7586
anonymous,anonymný
inn,hostinec
planted,vysadený
oldest,najstarší
breast,prsník
sixth,šiesty
error,chyba
reporting,podávanie správ
egypt,Egypt
islands,ostrovy
brother-in-law,švagor
jules,šťavu
roommate,spolubývajúci
sings,spis
scum,pokrm
visitor,návštevník
giggling,chichotanie
described,opísaný
geez,geez
inches,centimetre
commitment,viazanosť
hercules,hercules
react,reagovať
cows,kravy
protest,protestovať
misery,utrpenie
theft,krádež
embrace,prijať
darn,sakra
harsh,drsný
andrea,Andrea
communicate,oznámiť
fathers,otcovia
faithful,verný
hector,hektor
uh-uh,uh-uh
flame,plameň
medal,medaila
silk,hodváb
photographer,fotograf
trevor,trevovor
cemetery,cintorín
rear,chrbát
freddy,freddy
banana,banán
allison,allison
emotion,emócia
chap,chump
dated,datovaný
excuses,výhovorka
shitty,hanblivý
bin,nádoba
jew,židovský
gum,žuvačka
crushed,rozdrvený
efforts,úsilie
content,spokojnosť
corporal,desiatnik
realised,realizovaný
del,del
rap,rapovať
hopeless,beznádejný
debate,diskusia
era,éra
luckily,našťastie
ton,tona
liquid,tekutý
swell,zväčšenie
peggy,peggy
feast,sviatok
murphy,mizerný
attracted,priťahoval
application,aplikácia
profession,profesia
bench,lavica
vanessa,vanessa
ahem,ahem
symptoms,príznaky
scout,prieskum
crashed,havarovaný
keen,horlivý
aircraft,lietadlo
formed,formovaný
hon,hon
aggressive,agresívny
pale,bledý
significant,významný
duncan,Duncan
clubs,kluby
visual,vizuálny
embassy,veľvyslanectvo
defence,obhajoba
cabinet,kabinet
display,zobrazenie
fame,sláva
gibbs,gibbs
drowned,utopený
wolves,vlci
filming,natáčanie
dunno,neviem
cursed,prekliaty
twin,dvojča
sorrow,smútok
vault,klenba
defeated,porazený
watson,watson
quote,citovať
penalty,pokuta
bargain,obchod
pepper,korenie
speaker,rečník
compare,porovnať
satan,satan
helmet,prilba
scar,jazva
copies,kópie
fuss,rozruch
envelope,obálka
perry,hrebeň
stinks,smrady
african,africký
arrangements,opatrenia
wished,želanie
honored,poctený
believing,veriaci
discussed,diskutovaný
assigned,pridelených
rosa,rosa
oven,rúra
jenna,Jenna
attacking,útočiaci
tin,konzervovať
sonic,zvukový
collar,golier
mere,iba
romeo,Romeo
belief,viera
storage,ukladanie
rusty,hrdzavý
psycho,psycho
climbing,lezenie
melissa,melissa
fears,strach
sum,súčet
dedicated,oddaný
ladder,rebrík
alternative,alternatíva
raid,nájazd
dining,jedálenský
ms,pani
corporate,firemný
folk,ľudový
jon,jon
replaced,vymenený
bailey,bailey
un,un
heels,päty
duties,povinnosti
smarter,múdrejší
existed,existoval
surprising,prekvapujúci
chess,šachový
requested,požadovaný
cruise,plavba
primary,primárny
rhythm,rytmus
drum,bubon
models,modely
motorcycle,motocykel
adopted,prijatý
barrel,sudca
cargo,náklad
planets,planéty
shove,strčiť
wha,hanba
surprises,prekvapenie
rosie,rosie
dings,dings
trailer,príves
cannon,kanón
tables,tabuľky
arse,zadok
ally,spojenec
lawrence,Lawrence
wee,krutý
tapes,pásky
dull,fádne
sandra,sandra
teenage,dospievajúci
kent,kent
cooperate,spolupracovať
risks,riziká
dug,vykopaný
worthless,bezcenný
arriving,príchod
kindness,láskavosť
ties,väzby
items,položky
and-,a----
grip,uchopenie
relations,vzťahy
rumor,povesť
skirt,päsť
frog,žaba
paige,paige
lloyd,lloyd
claimed,nárokovaný
perfume,parfumy
instrumental,inštrumentálny
flames,plamene
association,združenie
loses,strata
01/01/7140,01/01/7140
spike,hrot
israel,Izrael
eleven,jedenásť
gallery,galéria
ginger,zázvor
activities,činnosť
iraq,Irak
boarding,palubná paluba
fist,päsť
stuffed,naplnený
improve,zlepšiť
creation,tvorba
connie,connie
infection,infekcia
strikes,štrajky
wiped,utretý
tension,napätie
whistles,píšťalka
kindly,láskavý
certificate,osvedčenie
curtis,strúhanie
bold,výrazný
threats,hrozba
claudia,claudia
sid,SID
twisted,skrútený
suspended,zavesený
affected,postihnutý
envy,závisť
whale,veľryba
dial,vytočiť
cameron,Cameron
martial,bojový
controlled,kontrolovaný
lung,pľúca
nigga,nigga
coal,uhlie
upside,nahor
imperial,cisársky
pam,pamiatka
paranoid,paranoidný
signing,podpis
congress,kongres
villa,vila
candles,sviečky
filling,náplň
becky,becky
comic,komický
faint,slabý
recovery,zotavenie
volunteer,dobrovoľne
tech,technický
bleed,krvácať
positions,pozície
cindy,cindy
narrow,zúžiť
forbid,zakázať
stuart,štrbina
perspective,perspektíva
faced,tvár
neat,čistý
pierce,prepichnúť
observe,pozorovať
cycle,cyklovanie
psychic,psychický
handling,zaobchádzanie
goose,hus
accidentally,náhodne
conclusion,záver
designer,dizajnér
sits,sedieť
importance,dôležitosť
spots,škvrny
francs,frank
sweep,pretekať
destroying,ničiaci
communist,komunista
blackmail,vydieranie
pacific,tichomorský
risky,riskantné
glorious,slávny
filed,podaný
hatred,nenávisť
cam,vačka
deals,obchody
pos,pódium
fooling,bláznivý
persons,osoby
scotch,škótsky
executed,popravený
brakes,brzdenie
blank,prázdny
tender,pohotovosť
kurt,kurt
turner,odbočka
tub,vaňa
sucker,hlupák
slight,nepatrný
addition,pridanie
campus,areál
ritual,rituál
prey,korisť
so-called,takzvaný
graduate,absolvent
anyways,tak ako tak
ew,bahno
fry,smažiť
genuine,skutočný
ned,ned
judging,posudzovanie
doubts,pochybnosti
warden,strážca
ceiling,strop
practicing,praktizovanie
somewhat,trochu
established,zavedený
attempted,pokus
zombie,zombie
generations,generácie
y√∂u,jav
gathering,zhromaždenie
warriors,bojovník
mick,štrbina
electrical,elektrický
collins,collins
sobs,vznik
couples,páry
depend,závisieť
institute,inštitút
miranda,Miranda
principle,zásada
fixing,upevňovací
therapist,terapeut
compete,súťažiť
compliment,kompliment
worship,uctievať
residence,bydlisko
democracy,demokracia
joel,joel
published,publikovaný
myth,mýtus
helpless,bezmocný
screwing,skrutkovanie
kennedy,Kennedy
execution,vykonanie
appetite,chuť
formal,formálny
strictly,striktne
sucked,nasávaný
tanks,tanky
chickens,kurčatá
gwen,gwen
technical,technický
stella,stella
rod,prútik
meets,stretnutia
shepherd,pastier
brazil,Brazília
brutal,brutálny
alison,Alison
vain,zbytočný
switched,prepínaný
chi,chi
deer,jeleň
brooklyn,Brooklyn
dresses,Šaty
retire,odísť do dôchodku
overcome,prekonať
inspiration,inšpirácia
cunt,kunda
benjamin,benjamin
nicky,nicky
thrilled,nadšený
tae,tae
suggestion,návrhy
dummy,figúrka
sailor,námorník
destination,destinácia
bass,BAS
picnic,piknik
assholes,kretén
idol,idol
trucks,nákladné autá
rank,hodnosť
denise,denise
yu,yu
veronica,veronica
blocked,blokovaný
strict,prísny
hiya,hiya
formula,vzorec
clerk,úradník
samurai,samuraj
disturbed,narušený
vera,vera
cafe,kaviareň
wandering,putovanie
consciousness,vedomie
val,val
nikki,Nikki
min,blesk
bare,holý
hans,hano
caleb,caleb
butcher,mäsiar
arrangement,dohoda
chased,prenasledovaný
ministry,ministerstvo
brandy,brandy
sweater,sveter
boobs,prsia
locate,nájsť
apologise,ospravedlniť sa
nazi,nacista
parole,podmienečné prepustenie
examine,preskúmať
trains,vlaky
candle,sviečka
prior,predchádzajúci
stream,Prúd
that-,to-
passage,priechod
reaching,dosahujúci
organ,orgán
directions,inštrukcie
asses,zadok
outer,vonkajšie
proves,dokázať
morris,Morris
luxury,luxus
pistol,pištoľ
v,vložka
losers,porazený
funds,fondy
sunset,západ slnka
strings,struny
fortunately,našťastie
gotcha,mám ťa
tomb,hrobka
freddie,freddie
but-,ale-
engineering,inžinierstvo
element,element
balloon,balón
ty,ty
broadcast,vysielať
spray,striekanie
ninja,ninja
eternity,večnosť
handy,praktický
to-,do-
crawl,plaziť sa
slice,rozrezávať
nations,národy
behaviour,správanie
pace,tempo
stiff,striedavý
lick,rozbiť
concrete,betón
allah,Alah
vegetables,zelenina
euros,euros
sausage,klobása
constable,konštantný
spinning,točiaci sa
rolls,rolky
genetic,genetický
loudly,hlasno
old-fashioned,staromódny
marvelous,Podivuhodný
subway,meter
creep,plaziť sa
scheme,schéma
performed,vykonané
ex-wife,exmanželka
plug,zákrok
rejected,zamietnutý
brenda,bret
respected,uznávaný
backs,chrbát
protocol,protokol
muscles,svaly
kidney,obličky
finishing,dokončenie
products,Produkty
invasion,invázia
affection,náklonnosť
woody,lesný
endless,nekonečný
discipline,disciplína
horns,rohy
absence,neprítomnosť
waking,prebudenie
dudes,chlapci
philosophy,filozofia
cracked,prasknutý
nicholas,Nicholas
reed,trstina
verdict,rozsudok
drake,búda
